name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
catsdontdance,http://www.boxofficemojo.com/movies/?id=catsdontdance.htm,21644,"$3,566,637",Warner Bros.,"March 28, 1997",Animation,2 hrs. 0 min.,G,N/A
unstoppable,http://www.boxofficemojo.com/movies/?id=unstoppable.htm,28418,"$81,562,942",Fox,"November 12, 2010",Action Thriller,1 hrs. 38 min.,PG-13,$100 million
birdcage,http://www.boxofficemojo.com/movies/?id=birdcage.htm,28664,"$124,060,553",MGM,"March 8, 1996",Comedy,1 hrs. 57 min.,R,N/A
brokebackmountain,http://www.boxofficemojo.com/movies/?id=brokebackmountain.htm,31613,"$83,043,761",Focus Features,"December 9, 2005",Western,2 hrs. 15 min.,R,$14 million
quickchange,http://www.boxofficemojo.com/movies/?id=quickchange.htm,21504,"$15,260,154",Warner Bros.,"July 13, 1990",Crime Comedy,1 hrs. 28 min.,R,N/A
mysticriver,http://www.boxofficemojo.com/movies/?id=mysticriver.htm,29057,"$90,135,191",Warner Bros.,"October 8, 2003",Crime Drama,2 hrs. 18 min.,R,$25 million
g-force,http://www.boxofficemojo.com/movies/?id=g-force.htm,27885,"$119,436,770",Buena Vista,"July 24, 2009",Family Adventure,1 hrs. 30 min.,PG,$150 million
hero02,http://www.boxofficemojo.com/movies/?id=hero02.htm,26469,"$53,710,019",Miramax,"August 27, 2004",Foreign / Action,1 hrs. 39 min.,PG-13,$31 million
carebearsmovie2,http://www.boxofficemojo.com/movies/?id=carebearsmovie2.htm,21520,"$8,540,346",Columbia,"March 7, 1986",Animation,1 hrs. 17 min.,G,N/A
doctorandthedevils,http://www.boxofficemojo.com/movies/?id=doctorandthedevils.htm,17422,"$147,070",Fox,"October 4, 1985",Horror,1 hrs. 32 min.,R,N/A
realsteel,http://www.boxofficemojo.com/movies/?id=realsteel.htm,28639,"$85,468,508",Buena Vista,"October 7, 2011",Action Drama,2 hrs. 7 min.,PG-13,N/A
buffythevampireslayer,http://www.boxofficemojo.com/movies/?id=buffythevampireslayer.htm,22604,"$16,624,456",Fox,"July 31, 1992",Horror Comedy,1 hrs. 26 min.,PG-13,N/A
mysummeroflove,http://www.boxofficemojo.com/movies/?id=mysummeroflove.htm,20940,"$1,000,915",Focus Features,"June 17, 2005",Romance,1 hrs. 27 min.,R,N/A
2046,http://www.boxofficemojo.com/movies/?id=2046.htm,21906,"$1,444,588",Sony Classics,"August 5, 2005",Foreign,2 hrs. 9 min.,R,$12 million
terminator2015,http://www.boxofficemojo.com/movies/?id=terminator2015.htm,26353,"$89,760,956",Paramount,"July 1, 2015",Action,2 hrs. 6 min.,PG-13,$155 million
pdr,http://www.boxofficemojo.com/movies/?id=pdr.htm,24099,"$7,057,600",Lionsgate,"March 23, 2007",Sports Drama,1 hrs. 44 min.,PG,N/A
purecountry,http://www.boxofficemojo.com/movies/?id=purecountry.htm,19954,"$15,164,458",Warner Bros.,"October 23, 1992",Music Drama,1 hrs. 53 min.,PG,N/A
hero,http://www.boxofficemojo.com/movies/?id=hero.htm,21155,"$19,507,345",Columbia,"October 2, 1992",Comedy,1 hrs. 58 min.,PG-13,N/A
jedgar,http://www.boxofficemojo.com/movies/?id=jedgar.htm,22276,"$37,306,030",Warner Bros.,"November 9, 2011",Drama,2 hrs. 17 min.,R,$35 million
finderskeepers,http://www.boxofficemojo.com/movies/?id=finderskeepers.htm,19588,"$1,467,396",Warner Bros.,"May 18, 1984",Unknown,1 hrs. 36 min.,R,N/A
brotherhoodofthewolf,http://www.boxofficemojo.com/movies/?id=brotherhoodofthewolf.htm,23039,"$11,260,096",Universal,"January 11, 2002",Foreign / Action,2 hrs. 22 min.,R,$29 million
flirt,http://www.boxofficemojo.com/movies/?id=flirt.htm,18722,"$263,192",Lions Gate,"August 7, 1996",Unknown,1 hrs. 25 min.,R,N/A
express,http://www.boxofficemojo.com/movies/?id=express.htm,25341,"$9,793,406",Universal,"October 10, 2008",Sports Drama,2 hrs. 9 min.,PG,$40 million
ernestsaveschristmas,http://www.boxofficemojo.com/movies/?id=ernestsaveschristmas.htm,21293,"$28,202,109",Buena Vista,"November 11, 1988",Family Comedy,1 hrs. 35 min.,PG,N/A
dogma,http://www.boxofficemojo.com/movies/?id=dogma.htm,23613,"$30,652,890",Lions Gate,"November 12, 1999",Fantasy Comedy,2 hrs. 10 min.,R,$10 million
suburbans,http://www.boxofficemojo.com/movies/?id=suburbans.htm,18780,"$11,130",Sony / Columbia,"October 29, 1999",Unknown,1 hrs. 21 min.,R,N/A
sonofthepinkpanther,http://www.boxofficemojo.com/movies/?id=sonofthepinkpanther.htm,20960,"$2,438,031",MGM,"August 27, 1993",Comedy,1 hrs. 33 min.,PG,N/A
devilsbackbone,http://www.boxofficemojo.com/movies/?id=devilsbackbone.htm,22554,"$755,249",Sony Classics,"November 21, 2001",Foreign / Horror,1 hrs. 46 min.,R,N/A
handfulofdust,http://www.boxofficemojo.com/movies/?id=handfulofdust.htm,19532,"$1,560,700",New Line,"June 24, 1988",Unknown,1 hrs. 58 min.,PG,N/A
pureformality,http://www.boxofficemojo.com/movies/?id=pureformality.htm,18416,"$190,749",Sony Classics,"May 26, 1995",Unknown,1 hrs. 48 min.,PG-13,N/A
greatmousedetective92,http://www.boxofficemojo.com/movies/?id=greatmousedetective92.htm,18846,"$13,288,756Domestic Lifetime Gross: $38,625,550",Buena Vista,"February 14, 1992",Animation,1 hrs. 14 min.,G,N/A
childrenofthecorn2,http://www.boxofficemojo.com/movies/?id=childrenofthecorn2.htm,20724,"$6,980,986",Miramax,"January 29, 1993",Horror,1 hrs. 30 min.,R,N/A
mansfieldpark,http://www.boxofficemojo.com/movies/?id=mansfieldpark.htm,18146,"$4,775,847",Miramax,"November 19, 1999",Period Drama,1 hrs. 38 min.,PG-13,N/A
slappyandthestinkers,http://www.boxofficemojo.com/movies/?id=slappyandthestinkers.htm,19499,"$80,837",Sony / Columbia,"January 23, 1998",Unknown,1 hrs. 30 min.,PG,N/A
